City Name,Date,Temperature C Day,Temperature F Day,Humidity Day,Temperature C Night,Temperature F Night,Humidity Night
Singapore,Tue 25,32°,90°,7%,27°,81°,24%
Singapore,Wed 26,31°,88°,53%,27°,81°,24%
Singapore,Thu 27,31°,88°,55%,27°,81°,24%
Singapore,Fri 28,30°,87°,50%,27°,80°,64%
Singapore,Sat 29,30°,86°,72%,27°,80°,52%
Singapore,Sun 30,31°,87°,49%,27°,80°,42%
Singapore,Mon 31,31°,87°,64%,27°,80°,56%
Singapore,Tue 01,30°,87°,59%,27°,80°,49%
Singapore,Wed 02,30°,87°,60%,27°,80°,46%
Singapore,Thu 03,31°,87°,60%,26°,79°,56%
Singapore,Fri 04,30°,87°,55%,27°,80°,60%
Singapore,Sat 05,30°,86°,60%,27°,80°,33%
Singapore,Sun 06,31°,87°,24%,27°,80°,23%
Singapore,Mon 07,31°,87°,31%,26°,79°,24%
Singapore,Tue 08,30°,87°,33%,26°,79°,21%
